identifier	Qidentifier	hierarcylevel	type	prefLabel	altLabel	translation	description	parent	parentQ	related	relatedQ	source	creator	closeMatch	relatedMatch	seeAlso	example
DB9FF5																	
D32F9D																	
F4B22D																	
F1BD3B																	
G62G54																	
DCF297																	
D7733D																	
GGD269																	
DBBF96																	
B9A468																	
GBC82A																	
A45A8A																	
G6BF65																	
FG4C8D																	
DA96G4																	
AFF311																	
B91966																	
FA4168																	
FAG9A8																	
AC8137																	
B2516C																	
DCC331																	
B9GG9D																	
F8DF18																	
CC17F2																	
BAD45G																	
DCD2F5																	
A3D27G																	
BABD39																	
G8B295																	
CDB6BG																	
D3FAC9																	
C2D33F																	
D65357																	
A489B9																	
DC1DC3																	
C7F618																	
A6GC4C																	
G41D66																	
F9A3AF																	
D2GF3A																	
G73C86																	
GD8377																	
BGA3G7																	
AAG238																	
BB6AAA																	
B49D48																	
A9DFFB																	
CFB365																	
CC73C3																	
G3GG44																	
D84258																	
G4865D																	
C1BD81																	
AD59GD																	
ABG393																	
FBB7GG																	
F67D3G																	
FD24B1																	
B89D72																	
G335GC																	
AC1F4F																	
G7C4DD																	
F94A37																	
AFF72A																	
B48792																	
FD1A12																	
C13F94																	
G62168																	
D35F16																	
D85G3G																	
D8DC32																	
B4G1C4																	
GBFGF9																	
A17A12																	
BB8C14																	
A74991																	
DA93DF																	
BD9G71																	
F44312																	
G51652																	
F2B734																	
CCG89D																	
FFF961																	
D7AG16																	
D3DD6A																	
GCF915																	
A7B525																	
FD24FF																	
D1G599																	
F641F7																	
BF1BDA																	
C75G24																	
FDDC74																	
FA1D97																	
D1326B																	
FDC362																	
B2B3BC																	
D631G1																	
F9D4B5																	
D75A61																	
FDG691																	
B44G85																	
F68DF8																	
ADF91D																	
F6C171																	
F75ADD																	
B83D3G																	
D66CB9																	
A2D277																	
C65G72																	
F18F77																	
FD7GG1																	
BB3CG2																	
B751CC																	
AA2D66																	
F774D6																	
AD32A4																	
G11C39																	
F4692F																	
FAC82A																	
B8G8AD																	
CGA45A																	
F97C5F																	
BF6A58																	
AA34C2																	
CG286A																	
G77B92																	
B48936																	
DA9A33																	
FC86B3																	
G1CC44																	
C8G8F1																	
DDA642																	
DDA448																	
FFBF63																	
GD2BAG																	
AFD25B																	
GB1C7C																	
D9F66A																	
A63B84																	
F3873B																	
B9943F																	
B61G72																	
G831BF																	
CD51DA																	
GD597G																	
D252FC																	
G1B899																	
BBD67B																	
F984FC																	
B17G69																	
C9522B																	
C3356A																	
C7563C																	
CAFF65																	
A9A7DG																	
FBGCA1																	
D5BA3D																	
GD71G2																	
FCC41C																	
B4G76D																	
B8D45F																	
F32D1C																	
GC9G9F																	
B1A281																	
DA517B																	
DBBC62																	
GF159B																	
